Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate
1002 DITMAS AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,04/28/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,993272,170730
1002 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,36,04/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,995119,187822
1002 JAMAICA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,04/08/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/19/2011 07:00 AM +0000,1020675,191078
1002 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,17,03/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1013345,239033
1003 PIERCE AVENUE,BRONX,11 BRONX,Precinct 49,13,03/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2011 07:00 AM +0000,1024746,247173
1004 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,07/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/22/2011 07:00 AM +0000,1002703,192843
1004 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,09/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/07/2010 07:00 AM +0000,1014194,239279
1004 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,01/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2011 08:00 AM +0000,1014194,239279
1004 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,17,03/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/23/2011 07:00 AM +0000,1013345,239051
1005 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,02/07/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/22/2011 07:00 AM +0000,996687,190545
1005 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,07/12/2011 07:00 AM +0000,Open,Site to be cleaned.,,1002716,192841
1005 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,17,12/07/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/03/2011 08:00 AM +0000,1012791,239205
1005 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,05/05/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/21/2011 07:00 AM +0000,996779,206463
1006 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,12/02/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2011 08:00 AM +0000,995258,187109
1006 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,36,04/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,995220,187795
1007 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,13,07/27/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1024097,248346
1008 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,36,09/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/12/2010 08:00 AM +0000,995236,187790
1009 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,11/10/2010 08:00 AM +0000,Open,Unspecified,,1002751,192816
101 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,11/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/12/2010 08:00 AM +0000,1001597,246017
101 BERRY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,04/26/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/04/2011 07:00 AM +0000,995804,201327
101 CASTLETON AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,10/29/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/14/2011 07:00 AM +0000,960137,170454
101 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,09/15/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/16/2010 07:00 AM +0000,985926,200833
101 DITMAS AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,09/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/29/2010 07:00 AM +0000,990397,170836
101 EAST 165 STREET,BRONX,04 BRONX,Precinct 44,16,07/20/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1005804,242225
101 EAST 196 STREET,BRONX,07 BRONX,Precinct 52,15,04/12/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/24/2011 07:00 AM +0000,1013567,255651
101 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,12/14/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2011 08:00 AM +0000,1010401,250102
101 EAST MOUNT EDEN AVENUE,BRONX,04 BRONX,Precinct 44,14,02/25/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/18/2011 07:00 AM +0000,1008375,246619
101 EDGECOMBE AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,7,04/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/02/2011 07:00 AM +0000,999216,237971
101 HAMPTON AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,07/21/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,997251,150332
101 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,06/17/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2011 07:00 AM +0000,1000473,185763
101 SACKETT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,08/18/2011 07:00 AM +0000,Open,Unspecified,,983261,188956
101 SAINT NICHOLAS AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,10/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2010 08:00 AM +0000,1006787,196432
101 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,10/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/23/2010 08:00 AM +0000,1004931,254011
101 ST NICHOLAS AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2010 07:00 AM +0000,1006787,196432
101 WEST 104 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,8,11/24/2010 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,03/07/2011 08:00 AM +0000,994144,230051
101 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/02/2011 07:00 AM +0000,998053,231554
101 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,07/20/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998053,231554
101 WEST 126 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,01/19/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2011 07:00 AM +0000,999349,233895
101 WEST 131 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,03/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/31/2011 07:00 AM +0000,999979,235031
101 WEST 132 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/16/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2011 07:00 AM +0000,,
101 WEST 136 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,01/20/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,04/12/2011 07:00 AM +0000,1000628,236201
101 WEST 140 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,07/20/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1001133,237115
101 WEST 141 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,12/13/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2011 07:00 AM +0000,1001255,237342
101 WEST 74 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6,04/26/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/28/2011 07:00 AM +0000,990273,223058
101-01 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,05/11/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1028211,189083
101-02 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,32,07/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1028216,189079
101-02 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,08/11/2011 07:00 AM +0000,Open,Site to be cleaned.,,1021102,214598
101-03 85 ROAD,QUEENS,09 QUEENS,Precinct 102,30,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2010 07:00 AM +0000,1026627,193368
101-03 85 ROAD,QUEENS,09 QUEENS,Precinct 102,30,01/06/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,1026627,193368
101-04 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,08/11/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1021106,214598
101-05 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,10/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/29/2010 07:00 AM +0000,1026883,192542
101-05 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,03/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2011 07:00 AM +0000,1026883,192542
101-07 126 STREET,QUEENS,09 QUEENS,Precinct 102,28,10/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/24/2010 08:00 AM +0000,1034200,191201
101-07 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,10/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2010 08:00 AM +0000,1026887,192542
101-08 97 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,12/06/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/25/2011 08:00 AM +0000,1027996,189696
101-09 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,10/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2010 08:00 AM +0000,1026891,192543
101-10 97 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,12/16/2010 08:00 AM +0000,Open,Unspecified,,1027999,189697
101-11 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,10/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/23/2010 08:00 AM +0000,1026895,192544
101-13 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,03/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2011 07:00 AM +0000,1026900,192544
101-15 ASTORIA BOULEVARD,QUEENS,03 QUEENS,Precinct 115,21,04/27/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/12/2011 07:00 AM +0000,1020811,216840
101-15 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,32,02/11/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2011 07:00 AM +0000,1029103,186986
101-16 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,05/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/12/2011 07:00 AM +0000,1021825,212654
101-19 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,03/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2011 07:00 AM +0000,1026912,192547
101-21 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,07/29/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1021805,212652
101-21 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,21,03/16/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2011 07:00 AM +0000,1023706,208707
101-21 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,21,04/20/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/03/2011 07:00 AM +0000,1023706,208707
101-23 44 AVENUE,QUEENS,04 QUEENS,Precinct 110,21,12/22/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,1022044,211175
1010 EAST 14 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,44,07/19/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,994735,166819
1010 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,03/08/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/23/2011 07:00 AM +0000,1014191,239321
10103 88 RD,QUEENS,Unspecified QUEENS,Unspecified,,11/05/2010 07:00 AM +0000,Open,Unspecified,,,
1011 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,08/18/2011 07:00 AM +0000,Open,Site to be cleaned.,,986541,174211
1011 AVENUE J,BROOKLYN,12 BROOKLYN,Precinct 66,44,09/27/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2010 08:00 AM +0000,993702,166869
1011 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,01/15/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2011 07:00 AM +0000,996705,190423
1011 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,01/06/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/18/2011 08:00 AM +0000,1002768,192803
1011 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,08/10/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1002768,192803
1011 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,06/16/2011 07:00 AM +0000,Pending,Cleaning crew dispatched.  Property cleaned.,05/26/2011 07:00 AM +0000,1004770,180801
1011 WALTON AVENUE,BRONX,04 BRONX,Precinct 44,17,01/21/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/08/2011 08:00 AM +0000,1005780,241837
1011 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17,03/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1013835,239525
1011 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,18,01/24/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,1023015,240515
1011 WHITEPLAINS ROAD,BRONX,09 BRONX,Precinct 43,18,05/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/12/2011 07:00 AM +0000,1023015,240515
1012 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,01/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,995728,171556
1012 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,09/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2010 07:00 AM +0000,1014191,239335
1013 EAST 163 STREET,BRONX,02 BRONX,Precinct 41,17,12/17/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/08/2011 08:00 AM +0000,1014008,238402
1014 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,36,04/28/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,995285,187777
1014 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,09/26/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/22/2010 08:00 AM +0000,996777,206530
1015 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,18,12/15/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2011 08:00 AM +0000,1025727,240961
1015 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,18,07/12/2011 07:00 AM +0000,Open,Site to be cleaned.,,1025727,240961
1015 FOX STREET,BRONX,02 BRONX,Precinct 41,17,06/25/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1013614,239648
1015 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,17,03/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2011 07:00 AM +0000,1012793,239379
1015 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,17,06/02/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1013342,239388
1016 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,05/31/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1004799,180817
1016 VAN SICLEN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,04/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/27/2011 07:00 AM +0000,1016899,178022
1017 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,05/26/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1025725,240975
1017 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,18,05/18/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1025725,240975
1017 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,04/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,994995,187863
1017 LEGGETT AVENUE,BRONX,02 BRONX,Precinct 41,17,05/24/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2011 07:00 AM +0000,1012055,235836
1018 OGDEN AVENUE,BRONX,04 BRONX,Precinct 44,17,04/23/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1003880,242939
1018 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17,01/11/2011 08:00 AM +0000,Open,Unspecified,,1013780,239481
1019 CORTELYOU ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,40,05/06/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,992978,172219
1019 EAST 167 STREET,BRONX,03 BRONX,Precinct 42,17,05/31/2011 07:00 AM +0000,Pending,Cleaning crew dispatched.  Property cleaned.,04/26/2011 07:00 AM +0000,1014965,240516
1019 IRVING AVENUE,BROOKLYN,Unspecified BROOKLYN,Unspecified,,06/11/2011 07:00 AM +0000,Open,Unspecified,,,
1019 MACDONALD AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,44,09/27/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/15/2010 08:00 AM +0000,990698,168353
102 2 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2,07/11/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/19/2011 07:00 AM +0000,987411,204254
102 BELMONT AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,04/08/2011 07:00 AM +0000,Closed,Graffiti is intentional.,04/25/2011 07:00 AM +0000,1010215,183027
102 EAST 125 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8,05/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/12/2011 07:00 AM +0000,1001242,232519
102 FRANKLIN STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1,03/31/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2011 07:00 AM +0000,982670,201030
102 INGRAHAM STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,07/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/19/2011 07:00 AM +0000,1003711,197014
102 WEST 124 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,07/20/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,999063,233406
102 WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,3,09/17/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/22/2010 07:00 AM +0000,986871,211374
102 WEST 37 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3,06/22/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/19/2011 07:00 AM +0000,987941,213181
102 WEST 96 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/23/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/12/2011 07:00 AM +0000,,
102-01 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,09/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Owner refused.,10/27/2010 07:00 AM +0000,1025392,203818
102-01 STRONG AVENUE,QUEENS,04 QUEENS,Precinct 110,25,04/20/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/03/2011 07:00 AM +0000,1023273,209432
102-02 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,10/09/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,01/04/2011 08:00 AM +0000,1021350,214632
102-02 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,02/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2011 07:00 AM +0000,1021350,214632
102-02 LARUE AVENUE,QUEENS,04 QUEENS,Precinct 110,21,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023654,209001
102-02 REMINGTON STREET,QUEENS,12 QUEENS,Precinct 103,28,07/09/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/13/2011 07:00 AM +0000,1036813,191968
102-03 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,03/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/12/2011 07:00 AM +0000,1027218,192584
102-03 STRONG AVENUE,QUEENS,04 QUEENS,Precinct 110,25,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023277,209435
102-05 STRONG AVENUE,QUEENS,04 QUEENS,Precinct 110,25,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023280,209439
102-07 67 DRIVE,QUEENS,06 QUEENS,Precinct 112,29,02/27/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/12/2011 07:00 AM +0000,1025518,203942
102-07 STRONG AVENUE,QUEENS,04 QUEENS,Precinct 110,25,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023284,209442
102-09 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,01/20/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2011 07:00 AM +0000,1027264,192585
102-10 67 DRIVE,QUEENS,06 QUEENS,Precinct 112,29,02/27/2011 08:00 AM +0000,Open,Unspecified,,1025521,203937
102-11 46 AVENUE,QUEENS,04 QUEENS,Precinct 110,25,05/25/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1022550,211037
102-11 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,28,05/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/07/2011 07:00 AM +0000,1027916,190685
102-11 LARUE AVENUE,QUEENS,04 QUEENS,Precinct 110,21,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023663,209019
102-12 LARUE AVENUE,QUEENS,04 QUEENS,Precinct 110,21,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023671,209019
102-15 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,25,08/11/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1022684,210458
102-16 95 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,12/28/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/14/2011 07:00 AM +0000,1028084,190216
102-17 44 AVENUE,QUEENS,04 QUEENS,Precinct 110,21,04/20/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/16/2011 07:00 AM +0000,1022438,211331
102-18 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,21,04/20/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1022350,211552
102-19 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,04/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/02/2011 07:00 AM +0000,1021378,214642
102-20 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,25,02/17/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2011 07:00 AM +0000,1022706,210449
102-20 LARUE AVENUE,QUEENS,04 QUEENS,Precinct 110,21,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1023685,209033
102-21 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,30,10/27/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2010 07:00 AM +0000,1027355,192587
102-22 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,25,02/17/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2011 07:00 AM +0000,1022714,210449
